title,year released,certificate,duration_min,genre ,rating,votes,age
Scarface,1932,PG,93,Action,7.7,"28,107",90
Dumbo,1941,G,64,Animation,7.2,"131,896",81
Nazi Concentration Camps,1945,Not Rated,59,Documentary,8.3,"1,481",77
Know Your Enemy - Japan,1945,Not Rated,63,Documentary,6,800,77
Along Came Jones,1945,Approved,90,Comedy,6.4,"2,163",77
Tomorrow Is Forever,1946,Not Rated,104,Drama,7.3,"2,637",76
The Stranger,1946,Passed,95,Crime,7.3,"26,705",76
Lured,1947,Approved,102,Crime,7,"3,811",75
He Walked by Night,1948,Approved,79,Crime,7.1,"6,083",74
"Sleep, My Love",1948,Passed,97,Drama,6.8,"1,827",74
The Sleeping City,1950,Approved,86,Crime,6.7,638,72
Winchester '73,1950,Passed,92,Action,7.6,"20,016",72
The Cimarron Kid,1952,Passed,84,Western,6.3,"1,027",70
Secret People,1952,Approved,96,Crime,6.2,673,70
Sudden Fear,1952,Approved,110,Film-Noir,7.5,"6,427",70
Woman They Almost Lynched,1953,Approved,90,Western,6.5,367,69
The Redhead from Wyog,1953,Approved,81,Western,6.1,566,69
Dragnet,1954,Approved,88,Crime,6.6,"1,041",68
Heat Wave,1954,Not Rated,68,Crime,6,597,68
Destry,1954,Approved,95,Western,6.6,"1,465",68
Man Without a Star,1955,Approved,89,Western,6.8,"3,498",67
The Big Combo,1955,Not Rated,87,Crime,7.3,"7,696",67
Cult of the Cobra,1955,Approved,82,Fantasy,5.7,"1,372",67
The Killer Is Loose,1956,Passed,73,Crime,6.6,"2,137",66
The Red Balloon,1956,Not Rated,34,Short,8.1,"18,627",66
Crime of Passion,1956,Approved,86,Crime,6.4,"2,442",66
Backlash,1956,Passed,84,Action,6.6,"1,665",66
The Ten Commandments,1956,G,220,Adventure,7.9,"71,119",66
The Unguarded Moment,1956,Approved,95,Crime,6.3,404,66
The Incredible Shrinking Man,1957,Not Rated,81,Horror,7.6,"18,215",65
Touch of Evil,1958,PG-13,95,Crime,8,"104,511",64
Trapped by Fear,1960,Not Rated,101,Crime,5.9,180,62
Les Bonnes Femmes,1960,Not Rated,100,Drama,7.2,"2,910",62
Spartacus,1960,PG-13,197,Adventure,7.9,"134,933",62
Breakfast at Tiffany's,1961,Approved,115,Comedy,7.6,"180,040",61
The Colossus of Rhodes,1961,Approved,127,Adventure,5.8,"3,626",61
"Léon Morin, Priest",1961,Not Rated,117,Drama,7.5,"5,140",61
To Kill a Mockingbird,1962,Approved,129,Crime,8.3,"315,380",60
Lawrence of Arabia,1962,Approved,218,Adventure,8.3,"292,337",60
Amongst Vultures,1964,Approved,98,Adventure,5.9,"1,625",58
The Oil Prince,1965,Approved,89,Western,5.8,"1,408",57
Winnetou: The Last Shot,1965,Approved,93,Action,6.6,"2,612",57
Our Man Flint,1966,Unrated,108,Action,6.4,"6,567",56
Star Trek: The Original Series,1966,TV-PG,50,Action,8.4,"83,805",56
A Man for All Seasons,1966,G,120,Biography,7.7,"34,731",56
Batman,1966,PG,105,Action,6.5,"33,371",56
Diabolically Yours,1967,G,93,Crime,6,"1,467",55
Valley of the Dolls,1967,PG-13,123,Drama,6,"8,882",55
