title,year released,certificate,duration,genre,rating,votes
Scarface,1932,PG,93 min,"Action, Crime, Drama",7.7,"28,107"
Dumbo,1941,G,64 min,"Animation, Adventure, Drama",7.2,"131,896"
Nazi Concentration Camps,1945,Not Rated,59 min,"Documentary, History",8.3,"1,481"
Know Your Enemy - Japan,1945,Not Rated,63 min,"Documentary, History, War",6.0,800
Along Came Jones,1945,Approved,90 min,"Comedy, Romance, Western",6.4,"2,163"
Tomorrow Is Forever,1946,Not Rated,104 min,"Drama, Romance, War",7.3,"2,637"
The Stranger,1946,Passed,95 min,"Crime, Drama, Film-Noir",7.3,"26,705"
Lured,1947,Approved,102 min,"Crime, Film-Noir, Mystery",7.0,"3,811"
He Walked by Night,1948,Approved,79 min,"Crime, Film-Noir, Thriller",7.1,"6,083"
"Sleep, My Love",1948,Passed,97 min,"Drama, Film-Noir, Mystery",6.8,"1,827"
The Sleeping City,1950,Approved,86 min,"Crime, Drama, Film-Noir",6.7,638
Winchester '73,1950,Passed,92 min,"Action, Drama, Western",7.6,"20,016"
The Cimarron Kid,1952,Passed,84 min,Western,6.3,"1,027"
Secret People,1952,Approved,96 min,"Crime, Drama",6.2,673
Sudden Fear,1952,Approved,110 min,"Film-Noir, Thriller",7.5,"6,427"
Woman They Almost Lynched,1953,Approved,90 min,Western,6.5,367
The Redhead from Wyoming,1953,Approved,81 min,Western,6.1,566
Dragnet,1954,Approved,88 min,"Crime, Drama, Film-Noir",6.6,"1,041"
Heat Wave,1954,Not Rated,68 min,"Crime, Drama",6.0,597
Destry,1954,Approved,95 min,Western,6.6,"1,465"
Man Without a Star,1955,Approved,89 min,Western,6.8,"3,498"
The Big Combo,1955,Not Rated,87 min,"Crime, Drama, Film-Noir",7.3,"7,696"
Cult of the Cobra,1955,Approved,82 min,"Fantasy, Horror",5.7,"1,372"
The Killer Is Loose,1956,Passed,73 min,"Crime, Drama, Film-Noir",6.6,"2,137"
The Red Balloon,1956,Not Rated,34 min,"Short, Comedy, Drama",8.1,"18,627"
Crime of Passion,1956,Approved,86 min,"Crime, Drama, Film-Noir",6.4,"2,442"
Backlash,1956,Passed,84 min,"Action, Adventure, Mystery",6.6,"1,665"
The Ten Commandments,1956,G,220 min,"Adventure, Drama, Family",7.9,"71,119"
The Unguarded Moment,1956,Approved,95 min,"Crime, Drama, Film-Noir",6.3,404
The Incredible Shrinking Man,1957,Not Rated,81 min,"Horror, Sci-Fi",7.6,"18,215"
Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir",8.0,"104,511"
Trapped by Fear,1960,Not Rated,101 min,"Crime, Drama",5.9,180
Les Bonnes Femmes,1960,Not Rated,100 min,"Drama, Mystery, Romance",7.2,"2,910"
Spartacus,1960,PG-13,197 min,"Adventure, Biography, Drama",7.9,"134,933"
Breakfast at Tiffany's,1961,Approved,115 min,"Comedy, Drama, Romance",7.6,"180,040"
The Colossus of Rhodes,1961,Approved,127 min,"Adventure, Drama, History",5.8,"3,626"
"Léon Morin, Priest",1961,Not Rated,117 min,"Drama, Romance, War",7.5,"5,140"
To Kill a Mockingbird,1962,Approved,129 min,"Crime, Drama",8.3,"315,380"
Lawrence of Arabia,1962,Approved,218 min,"Adventure, Biography, Drama",8.3,"292,337"
Amongst Vultures,1964,Approved,98 min,"Adventure, Western",5.9,"1,625"
