show_id,title,year released,certificate,duration_min,genre,rating,description,stars,votes
S1,Scarface,1932,PG,93,Action,7.7,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","['Howard Hawks, ', 'Richard Rosson', '| ', '    Stars:', 'Paul Muni, ', 'Ann Dvorak, ', 'Karen Morley, ', 'Osgood Perkins']","28,107"
S2,Dumbo,1941,G,64,Animation,7.2,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","['Samuel Armstrong, ', 'Norman Ferguson, ', 'Wilfred Jackson, ', 'Jack Kinney, ', 'Bill Roberts, ', 'Ben Sharpsteen, ', 'John Elliotte', '| ', '    Stars:', 'Sterling Holloway, ', 'Edward Brophy, ', 'Herman Bing, ', 'Billy Bletcher']","131,896"
S3,Nazi Concentration Camps,1945,Not Rated,59,Documentary,8.3,Produced and presented as evidence at the Nuremberg war crimes trial of Hermann Göring and twenty other Nazi leaders.,"['George Stevens', '| ', '    Stars:', 'Dwight D. Eisenhower, ', 'Omar N. Bradley, ', 'George S. Patton, ', 'Hayden Sears']","1,481"
S4,Know Your Enemy - Japan,1945,Not Rated,63,Documentary,6,A comprehensive look at the war in the Pacific during World War II. Shot as a propaganda film by acclaimed Hollywood director Frank Capra,"['Frank Capra, ', 'Joris Ivens', '| ', '    Stars:', 'John Beal, ', 'Howard Duff, ', 'Walter Huston, ', 'Knox Manning']",800
S5,Along Came Jones,1945,Approved,90,Comedy,6.4,A good-natured saddle tramp traveling with his sidekick is mistaken for a ruthless outlaw with a price on his head.,"['Stuart Heisler', '| ', '    Stars:', 'Gary Cooper, ', 'Loretta Young, ', 'William Demarest, ', 'Dan Duryea']","2,163"
S6,Tomorrow Is Forever,1946,Not Rated,104,Drama,7.3,"An American World War I soldier whose disfigured face is reconstructed by Austrian plastic surgeons returns home after 20 years, but no one recognizes him, his widow is married to another man, and his son is a grown young man.","['Irving Pichel', '| ', '    Stars:', 'Claudette Colbert, ', 'Orson Welles, ', 'George Brent, ', 'Lucile Watson']","2,637"
S7,The Stranger,1946,Passed,95,Crime,7.3,An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.,"['Orson Welles', '| ', '    Stars:', 'Orson Welles, ', 'Edward G. Robinson, ', 'Loretta Young, ', 'Philip Merivale']","26,705"
S8,Lured,1947,Approved,102,Crime,7,British police are after a serial killer who lures his female victims through newspaper personal ads and sends cryptic-poem clues to the cops.,"['Douglas Sirk', '| ', '    Stars:', 'George Sanders, ', 'Lucille Ball, ', 'Charles Coburn, ', 'Boris Karloff']","3,811"
S9,He Walked by Night,1948,Approved,79,Crime,7.1,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.","['Alfred L. Werker, ', 'Anthony Mann', '| ', '    Stars:', 'Richard Basehart, ', 'Scott Brady, ', 'Roy Roberts, ', 'Whit Bissell']","6,083"
S10,"Sleep, My Love",1948,Passed,97,Drama,6.8,Chronic sleepwalker Alison Courtland thinks that a mysterious man wearing horned-rimmed eye glasses is out to kill her but her husband blames her tired imagination.,"['Douglas Sirk', '| ', '    Stars:', 'Claudette Colbert, ', 'Robert Cummings, ', 'Don Ameche, ', 'Rita Johnson']","1,827"
